Province,Electoral District Name/Nom de circonscription,Electoral District Number/Numéro de circonscription,Candidate/Candidat,Candidate Residence/Résidence du candidat,Candidate Occupation/Profession du candidat,Votes Obtained/Votes obtenus,Percentage of Votes Obtained /Pourcentage des votes obtenus,Majority/Majorité,Majority Percentage/Pourcentage de majorité
"Quebec/Québec","Portneuf--Jacques-Cartier","24058","Élaine Michaud ** NDP-New Democratic Party/NPD-Nouveau Parti démocratique","Neuville, Que./ Qc","Parliamentarian/Parlementaire",13686,22.1,,
"Quebec/Québec","Portneuf--Jacques-Cartier","24058","David Gauvin Liberal/Libéral","Deschambault-Grondines, Que./ Qc","Engineer/Ingénieur",13322,21.5,,
"Quebec/Québec","Portneuf--Jacques-Cartier","24058","Raymond Harvey Bloc Québécois/Bloc Québécois","Sainte-Catherine-de-la-Jacques-Cartier, Que./ Qc","Manager/Gestionnaire",6665,10.7,,
"Quebec/Québec","Portneuf--Jacques-Cartier","24058","Johanne Morin Green Party/Parti Vert","Neuville, Que./ Qc","Student/Étudiante",1096,1.8,,
"Quebec/Québec","Québec","24059","Jean-Yves Duclos Liberal/Libéral","Québec, Que./ Qc","Professor/Professeur",15566,28.9,      1000,   1.9
"Quebec/Québec","Québec","24059","Annick Papillon ** NDP-New Democratic Party/NPD-Nouveau Parti démocratique","Québec, Que./ Qc","Parliamentarian/Parlementaire",14566,27,,
"Quebec/Québec","Québec","24059","Pierre-Thomas Asselin Conservative/Conservateur","Québec, Que./ Qc","Political Attaché/Attaché politique",11737,21.8,,
"Quebec/Québec","Québec","24059","Charles Mordret Bloc Québécois/Bloc Québécois","Montréal, Que./ Qc","Businessman/Homme d'affaires",10153,18.8,,
"Quebec/Québec","Québec","24059","Philippe Riboty Green Party/Parti Vert","Lévis, Que./ Qc","Psychology Teacher/Enseignant en psychologie",1570,2.9,,
"Quebec/Québec","Québec","24059","Normand Fournier Marxist-Leninist/Marxiste-Léniniste","Montréal, Que./ Qc","Annuitant/Rentier",153,.3,,
"Quebec/Québec","Québec","24059","Danielle Provost Forces et Démocratie - Allier les forces de nos régions/Forces et Démocratie - Allier les forces de nos régions","Québec, Que./ Qc","Artistic Painter/Artiste-peintre",122,.2,,
"Quebec/Québec","Repentigny","24060","Monique Pauzé Bloc Québécois/Bloc Québécois","Montréal, Que./ Qc","Retired/Retraitée",22618,34.7,      4820,   7.4
"Quebec/Québec","Repentigny","24060","Adriana Dudas Liberal/Libéral","Repentigny, Que./ Qc","Store Manager/Directrice de magasin",17798,27.3,,
"Quebec/Québec","Repentigny","24060","Réjean Bellemare NDP-New Democratic Party/NPD-Nouveau Parti démocratique","Repentigny, Que./ Qc","Economist/Économiste",15167,23.3,,
"Quebec/Québec","Repentigny","24060","Jonathan Lefebvre Conservative/Conservateur","Gatineau, Que./ Qc","Federal Public Servant/Fonctionnaire fédéral",7053,10.8,,
"Quebec/Québec","Repentigny","24060","Johnathan Cloutier Forces et Démocratie - Allier les forces de nos régions/Forces et Démocratie - Allier les forces de nos régions","Repentigny, Que./ Qc","Real Estate Agent/Courtier immobillier",1333,2,,
"Quebec/Québec","Repentigny","24060","Yoland Gilbert Green Party/Parti Vert","Repentigny, Que./ Qc","IT Consultant/Consultant en informatique",1242,1.9,,
"Quebec/Québec","Richmond--Arthabaska","24061","Alain Rayes Conservative/Conservateur","Victoriaville, Que./ Qc","Mayor/Maire",18505,31.6,      4042,   6.9
"Quebec/Québec","Richmond--Arthabaska","24061","Marc Desmarais Liberal/Libéral","Gatineau, Que./ Qc","Lobbyist/Lobbyiste",14463,24.7,,
"Quebec/Québec","Richmond--Arthabaska","24061","Myriam Beaulieu NDP-New Democratic Party/NPD-Nouveau Parti démocratique","Melbourne, Que./ Qc","Farmer/Agricultrice",14213,24.2,,
"Quebec/Québec","Richmond--Arthabaska","24061","Olivier Nolin Bloc Québécois/Bloc Québécois","Victoriaville, Que./ Qc","Student/Étudiant",10068,17.2,,
"Quebec/Québec","Richmond--Arthabaska","24061","Laurier Busque Green Party/Parti Vert","Melbourne, Que./ Qc","Retired Professor/Professeur retraité",984,1.7,,
"Quebec/Québec","Richmond--Arthabaska","24061","Antoine Dubois Rhinoceros/Rhinocéros","Windsor, Que./ Qc","Teacher/Enseignant",384,.7,,
"Quebec/Québec","Rimouski-Neigette--Témiscouata--Les Basques","24018","Guy Caron ** NDP-New Democratic Party/NPD-Nouveau Parti démocratique","Rimouski, Que./ Qc","Ecomonist/Économiste",19374,43.1,      6780,  15.1
"Quebec/Québec","Rimouski-Neigette--Témiscouata--Les Basques","24018","Pierre Cadieux Liberal/Libéral","Rimouski, Que./ Qc","Professor/Professeur",12594,28,,
"Quebec/Québec","Rimouski-Neigette--Témiscouata--Les Basques","24018","Johanne Carignan Bloc Québécois/Bloc Québécois","Rimouski, Que./ Qc","Lecturer/Chargée de cours",8673,19.3,,
"Quebec/Québec","Rimouski-Neigette--Témiscouata--Les Basques","24018","Francis Fortin Conservative/Conservateur","Saint-Augustin-de-Desmaures, Que./ Qc","Project Manager/Gestionnaire de projet",3363,7.5,,
"Quebec/Québec","Rimouski-Neigette--Témiscouata--Les Basques","24018","Louise Boutin Green Party/Parti Vert","Vancouver, B.C./ C.-B.","Realtor/Courtier en immeubles",669,1.5,,
"Quebec/Québec","Rimouski-Neigette--Témiscouata--Les Basques","24018","Sébastien CôRhino Côrriveau Rhinoceros/Rhinocéros","Saint-Donat, Que./ Qc","Clarinetist/Clarinettiste",273,.6,,
"Quebec/Québec","Rivière-des-Mille-Îles","24062","Linda Lapointe Liberal/Libéral","Boisbriand, Que./ Qc","Businesswoman/Femme d'affaires",18787,32.4,      1676,   2.9
"Quebec/Québec","Rivière-des-Mille-Îles","24062","Laurin Liu ** NDP-New Democratic Party/NPD-Nouveau Parti démocratique","Saint-Eustache, Que./ Qc","Parliamentarian/Parlementaire",17111,29.5,,
"Quebec/Québec","Rivière-des-Mille-Îles","24062","Félix Pinel Bloc Québécois/Bloc Québécois","Saint-Eustache, Que./ Qc","Teacher/Enseignant",14755,25.4,,
"Quebec/Québec","Rivière-des-Mille-Îles","24062","Érick Gauthier Conservative/Conservateur","Saint-Eustache, Que./ Qc","Teacher/Enseignant",6099,10.5,,
"Quebec/Québec","Rivière-des-Mille-Îles","24062","Alec Ware Green Party/Parti Vert","Deux-Montagnes, Que./ Qc","Nurse/Infirmier",1136,2,,
"Quebec/Québec","Rivière-des-Mille-Îles","24062","Luis Quinteros Independent/Indépendant","Saint-Eustache, Que./ Qc","Annuitant/Rentier",158,.3,,
"Quebec/Québec","Rivière-du-Nord","24063","Rhéal Fortin Bloc Québécois/Bloc Québécois","Saint-Sauveur, Que./ Qc","Lawyer/Avocat",18157,32,      1080,   1.9
"Quebec/Québec","Rivière-du-Nord","24063","Pierre Dionne Labelle ** NDP-New Democratic Party/NPD-Nouveau Parti démocratique","Saint-Jérôme, Que./ Qc","Parliamentarian/Parlementaire",17077,30.1,,
"Quebec/Québec","Rivière-du-Nord","24063","Janice Bélair Rolland Liberal/Libéral","Saint-Jérôme, Que./ Qc","Sales Director/Directeur des ventes",14933,26.4,,
"Quebec/Québec","Rivière-du-Nord","24063","Romain Vignol Conservative/Conservateur","Québec, Que./ Qc","Student/Étudiant",4793,8.5,,
"Quebec/Québec","Rivière-du-Nord","24063","Joey Leckman Green Party/Parti Vert","Prévost, Que./ Qc","Teacher/Professeur",1436,2.5,,
"Quebec/Québec","Rivière-du-Nord","24063","Fobozof A. Côté Rhinoceros/Rhinocéros","Saint-Colomban, Que./ Qc","Retired Architect/Architecte Retraité",261,.5,,
"Quebec/Québec","Rosemont--La Petite-Patrie","24064","Alexandre Boulerice ** NDP-New Democratic Party/NPD-Nouveau Parti démocratique","Montréal, Que./ Qc","Parliamentarian/Parlementaire",28672,49.2,     16389,  28.1
"Quebec/Québec","Rosemont--La Petite-Patrie","24064","Claude André Bloc Québécois/Bloc Québécois","Montréal, Que./ Qc","Journalist/Author/Journaliste-Auteur",12283,21.1,,
"Quebec/Québec","Rosemont--La Petite-Patrie","24064","Nadine Medawar Liberal/Libéral","Montréal, Que./ Qc","Songwriter/Interpreter/Auteure-compositrice-interprète",12068,20.7,,
"Quebec/Québec","Rosemont--La Petite-Patrie","24064","Jeremy Dohan Conservative/Conservateur","Outremont, Que./ Qc","Military Reservist/Réserviste militaire",2510,4.3,,
"Quebec/Québec","Rosemont--La Petite-Patrie","24064","Sameer Muldeen Green Party/Parti Vert","Montréal, Que./ Qc","Manager/Gestionnaire",1783,3.1,,
"Quebec/Québec","Rosemont--La Petite-Patrie","24064","Laurent Aglat Rhinoceros/Rhinocéros","Montréal, Que./ Qc","Composer/Compositeur",495,.8,,
"Quebec/Québec","Rosemont--La Petite-Patrie","24064","Peter d'Entremont Libertarian/Libertarien","Montréal, Que./ Qc","Computer Analyst/Analyste en informatique",353,.6,,
"Quebec/Québec","Rosemont--La Petite-Patrie","24064","Stéphane Chénier Marxist-Leninist/Marxiste-Léniniste","Montréal, Que./ Qc","Child-Care Services Educator /Éducateur service de garde",171,.3,,
"Quebec/Québec","Saint-Hyacinthe--Bagot","24066","Brigitte Sansoucy NDP-New Democratic Party/NPD-Nouveau Parti démocratique","Saint-Hyacinthe, Que./ Qc","Regional Development Consultant/Conseillère en développement régional",15578,28.7,       598,   1.1
"Quebec/Québec","Saint-Hyacinthe--Bagot","24066","René Vincelette Liberal/Libéral","Saint-Hyacinthe, Que./ Qc","Human Resources Deputy Director/Vice-Directeur des ressources humaines",14980,27.6,,
"Quebec/Québec","Saint-Hyacinthe--Bagot","24066","Michel Filion Bloc Québécois/Bloc Québécois","Saint-Hyacinthe, Que./ Qc","Public Administration Consultant/Consultant en gestion publique",13200,24.3,,
"Quebec/Québec","Saint-Hyacinthe--Bagot","24066","Réjean Léveillé Conservative/Conservateur","Laval, Que./ Qc","Broadcaster/Communicateur",9098,16.7,,
"Quebec/Québec","Saint-Hyacinthe--Bagot","24066","Lise Durand Green Party/Parti Vert","Varennes, Que./ Qc","Retired/Retraitée",1243,2.3,,
"Quebec/Québec","Saint-Hyacinthe--Bagot","24066","Ugo Ménard Independent/Indépendant","Saint-Hyacinthe, Que./ Qc","Microbiologist/Microbiologiste",270,.5,,
"Quebec/Québec","Saint-Jean","24067","Jean Rioux Liberal/Libéral","Saint-Jean-sur-Richelieu, Que./ Qc","Retired/Retraité",20022,33.2,      2467,   4.1
"Quebec/Québec","Saint-Jean","24067","Hans Marotte NDP-New Democratic Party/NPD-Nouveau Parti démocratique","Saint-Mathias-sur-Richelieu, Que./ Qc","lawyer/Avocat",17555,29.1,,
"Quebec/Québec","Saint-Jean","24067","Denis Hurtubise Bloc Québécois/Bloc Québécois","Saint-Jean-sur-Richelieu, Que./ Qc","Programmer Analyst/Analyste-Programmeur",14979,24.8,,
"Quebec/Québec","Saint-Jean","24067","Stéphane Guinta Conservative/Conservateur","Candiac, Que./ Qc","Lawyer/Avocat",6549,10.8,,
"Quebec/Québec","Saint-Jean","24067","Marilyn Redivo Green Party/Parti Vert","North Saanich, B.C./ C.-B.","Self-employed/Travailleur indépendant",1281,2.1,,
"Quebec/Québec","Saint-Laurent","24068","Stéphane Dion ** Liberal/Libéral","Montréal, Que./ Qc","Parliamentarian/Parlementaire",24832,61.6,     16965,  42.1
"Quebec/Québec","Saint-Laurent","24068","Jimmy Yu Conservative/Conservateur","Saint-Laurent, Que./ Qc","Businessman/Homme d'affaires",7867,19.5,,
"Quebec/Québec","Saint-Laurent","24068","Alain Ackad NDP-New Democratic Party/NPD-Nouveau Parti démocratique","Saint-Laurent, Que./ Qc","Engineer/Ingénieur",4646,11.5,,
"Quebec/Québec","Saint-Laurent","24068","Pascal-Olivier Dumas-Dubreuil Bloc Québécois/Bloc Québécois","Montréal, Que./ Qc","Student/Étudiant",1879,4.7,,
"Quebec/Québec","Saint-Laurent","24068","John Tromp Green Party/Parti Vert","Montréal, Que./ Qc","CEGEP Teacher/Professeur au CEGEP",977,2.4,,
"Quebec/Québec","Saint-Laurent","24068","Fernand Deschamps Marxist-Leninist/Marxiste-Léniniste","Montréal, Que./ Qc","Teacher/Enseignant",129,.3,,
"Quebec/Québec","Saint-Léonard--Saint-Michel","24069","Nicola Di Iorio Liberal/Libéral","Mont-Royal, Que./ Qc","Lawyer/Avocat",28826,64.7,     22215,  49.9
"Quebec/Québec","Saint-Léonard--Saint-Michel","24069","Rosannie Filato NDP-New Democratic Party/NPD-Nouveau Parti démocratique","Saint-Léonard, Que./ Qc","Lawyer/Avocate",6611,14.8,,
"Quebec/Québec","Saint-Léonard--Saint-Michel","24069","Jean Philippe Fournier Conservative/Conservateur","Mont-Royal, Que./ Qc","Student/Étudiant",4957,11.1,,
"Quebec/Québec","Saint-Léonard--Saint-Michel","24069","Steeve Gendron Bloc Québécois/Bloc Québécois","Montréal, Que./ Qc","Chartered Professional Accountant/Comptable professionnel agréé",3204,7.2,,
"Quebec/Québec","Saint-Léonard--Saint-Michel","24069","Melissa Miscione Green Party/Parti Vert","Montréal, Que./ Qc","Interior designer/Designer d'intérieur",805,1.8,,
"Quebec/Québec","Saint-Léonard--Saint-Michel","24069","Arezki Malek Marxist-Leninist/Marxiste-Léniniste","Montréal, Que./ Qc","Retired/Retraité",128,.3,,
"Quebec/Québec","Saint-Maurice--Champlain","24070","François-Philippe Champagne Liberal/Libéral","Shawinigan, Que./ Qc","Businessman/Homme d'affaires",24475,41.5,     12230,  20.7
"Quebec/Québec","Saint-Maurice--Champlain","24070","Jean-Yves Tremblay NDP-New Democratic Party/NPD-Nouveau Parti démocratique","Grand-Mère, Que./ Qc","Retired/Retraité",12245,20.8,,
"Quebec/Québec","Saint-Maurice--Champlain","24070","Sacki Carignan Deschamps Bloc Québécois/Bloc Québécois","Grand-Mère, Que./ Qc","Sociologist /Sociologue",11295,19.2,,
"Quebec/Québec","Saint-Maurice--Champlain","24070","Jacques Grenier Conservative/Conservateur","Grand-Mère, Que./ Qc","Life Insurance Investment Advisor/Conseiller placement assurance vie",9592,16.3,,
"Quebec/Québec","Saint-Maurice--Champlain","24070","Martial Toupin Green Party/Parti Vert","Saint-Maurice, Que./ Qc","Organic Farmer/Agriculteur biologique",1144,1.9,,
"Quebec/Québec","Saint-Maurice--Champlain","24070","Jean-Paul Bédard Marxist-Leninist/Marxiste-Léniniste","Sainte-Thècle, Que./ Qc","Retired/Retraité",196,.3,,
"Quebec/Québec","Salaberry--Suroît","24071","Anne Minh-Thu Quach ** NDP-New Democratic Party/NPD-Nouveau Parti démocratique","Salaberry-de-Valleyfield, Que./ Qc","French Secondary School Teacher/Enseignante de français au secondaire",18726,30.4,       771,   1.3
"Quebec/Québec","Salaberry--Suroît","24071","Robert Sauvé Liberal/Libéral","Coteau-du-Lac, Que./ Qc","Retired/Retraité",17955,29.2,,
"Quebec/Québec","Salaberry--Suroît","24071","Claude DeBellefeuille Bloc Québécois/Bloc Québécois","Ormstown, Que./ Qc","Social Worker/Travailleuse sociale",17452,28.4,,
"Quebec/Québec","Salaberry--Suroît","24071","Albert De Martin Conservative/Conservateur","Godmanchester, Que./ Qc","Farmer/Agriculteur",6132,10,,
"Quebec/Québec","Salaberry--Suroît","24071","Nicola-Silverado Socrates Green Party/Parti Vert","West Kelowna, B.C./ C.-B.","Trailride Owner-Operator/Propriétaire-exploitant, entreprise de randonnée  ",867,1.4,,
"Quebec/Québec","Salaberry--Suroît","24071","Sylvain Larocque Independent/Indépendant","Salaberry-de-Valleyfield, Que./ Qc","Electronic Technician/Technicien en électronique",219,.4,,
"Quebec/Québec","Salaberry--Suroît","24071","Patricia Domingos Forces et Démocratie - Allier les forces de nos régions/Forces et Démocratie - Allier les forces de nos régions","Sainte-Justine-de-Newton, Que./ Qc","Financial Controller/Contrôleuse financière",184,.3,,
"Quebec/Québec","Shefford","24072","Pierre Breton Liberal/Libéral","Granby, Que./ Qc","Human Resources Officer/Conseiller en ressources humaines",22957,39,      9012,  15.3
"Quebec/Québec","Shefford","24072","Claire Mailhot NDP-New Democratic Party/NPD-Nouveau Parti démocratique","Bromont, Que./ Qc","Geographer specializing in Social Economy/Géographe spécialisée en économie sociale",13945,23.7,,
"Quebec/Québec","Shefford","24072","Jocelyn Beaudoin Bloc Québécois/Bloc Québécois","Sainte-Cécile-de-Milton, Que./ Qc","Jurist/Juriste",13092,22.2,,
"Quebec/Québec","Shefford","24072","Sylvie Fontaine Conservative/Conservateur","Granby, Que./ Qc","Business woman/Femme d'affaire",7529,12.8,,
"Quebec/Québec","Shefford","24072","Simon McMillan Green Party/Parti Vert","Nepean, Ont.","Stay-at-Home Parent/Parent au foyer",1397,2.4,,
"Quebec/Québec","Sherbrooke","24073","Pierre-Luc Dusseault ** NDP-New Democratic Party/NPD-Nouveau Parti démocratique","Sherbrooke, Que./ Qc","Parliamentarian/Parlementaire",21410,37.4,      4339,   7.6
"Quebec/Québec","Sherbrooke","24073","Thomas ''Tom'' Allen Liberal/Libéral","Sherbrooke, Que./ Qc","Retired/Retraité",17071,29.8,,
"Quebec/Québec","Sherbrooke","24073","Caroline Bouchard Bloc Québécois/Bloc Québécois","Sherbrooke, Que./ Qc","Self-employed /Travailleuse autonome",11717,20.4,,
"Quebec/Québec","Sherbrooke","24073","Marc Dauphin Conservative/Conservateur","Coaticook, Que./ Qc","Doctor/Médecin",5391,9.4,,
"Quebec/Québec","Sherbrooke","24073","Sophie Malouin Green Party/Parti Vert","Midhurst, Ont.","Yoga Instructor/Instructrice de yoga",1143,2,,
"Quebec/Québec","Sherbrooke","24073","Benoit Huberdeau Independent/Indépendant","Sherbrooke, Que./ Qc","Placement Coordinator/Coordonnateur de stages",303,.5,,
"Quebec/Québec","Sherbrooke","24073","Hubert Richard Rhinoceros/Rhinocéros","Sherbrooke, Que./ Qc","None/Aucune",265,.5,,
"Quebec/Québec","Terrebonne","24075","Michel Boudrias Bloc Québécois/Bloc Québécois","Montréal, Que./ Qc","Retired Military Officer/Officier militaire retraité",19238,33,      2922,   5.0
"Quebec/Québec","Terrebonne","24075","Michèle Audette Liberal/Libéral","Maliotenam, Que./ Qc","Consultant/Consultante",16316,28,,
"Quebec/Québec","Terrebonne","24075","Charmaine Borg ** NDP-New Democratic Party/NPD-Nouveau Parti démocratique","Terrebonne, Que./ Qc","Parliamentarian/Parlementaire",14928,25.6,,
"Quebec/Québec","Terrebonne","24075","Michel Surprenant Conservative/Conservateur","Terrebonne, Que./ Qc","Storekeeper/Commerçant",6615,11.3,,
"Quebec/Québec","Terrebonne","24075","Susan Moen Green Party/Parti Vert","Black Creek, B.C./ C.-B.","Non Profit Consultant/Consultante",1016,1.7,,
"Quebec/Québec","Terrebonne","24075","Louis Clément Sénat Forces et Démocratie - Allier les forces de nos régions/Forces et Démocratie - Allier les forces de nos régions","Terrebonne, Que./ Qc","Public Servant/Fonctionnaire",171,.3,,
"Quebec/Québec","Thérèse-De Blainville","24013","Ramez Ayoub Liberal/Libéral","Lorraine, Que./ Qc","Mayor/Maire",18281,32.5,      3043,   5.4
"Quebec/Québec","Thérèse-De Blainville","24013","Alain Marginean Bloc Québécois/Bloc Québécois","Rosemère, Que./ Qc","Retired education director/Retraité Directeur éducation",15238,27.1,,
"Quebec/Québec","Thérèse-De Blainville","24013","Alain Giguère ** NDP-New Democratic Party/NPD-Nouveau Parti démocratique","Sainte-Thérèse, Que./ Qc","Lawyer/Avocat",14022,24.9,,
"Quebec/Québec","Thérèse-De Blainville","24013","Manuel Puga Conservative/Conservateur","Québec, Que./ Qc","Businessman/Homme d'affaires",7000,12.4,,
"Quebec/Québec","Thérèse-De Blainville","24013","Andrew Carkner Green Party/Parti Vert","Blainville, Que./ Qc","Engineer/Ingénieur",1352,2.4,,
"Quebec/Québec","Thérèse-De Blainville","24013","Daniel Guindon Libertarian/Libertarien","Blainville, Que./ Qc","Crane Operator/Grutier",355,.6,,
"Quebec/Québec","Trois-Rivières","24076","Robert Aubin ** NDP-New Democratic Party/NPD-Nouveau Parti démocratique","Trois-Rivières, Que./ Qc","Parliamentarian/Parlementaire",19193,31.8,       969,   1.6
"Quebec/Québec","Trois-Rivières","24076","Yvon Boivin Liberal/Libéral","Trois-Rivières, Que./ Qc","Manager/Gestionnaire",18224,30.2,,
"Quebec/Québec","Trois-Rivières","24076","Dominic Therrien Conservative/Conservateur","Port Moody, B.C./ C.-B.","Lawyer/Avocat",11231,18.6,,
"Quebec/Québec","Trois-Rivières","24076","André Valois Bloc Québécois/Bloc Québécois","Trois-Rivières, Que./ Qc","Retired/Retraité",10249,17,,
"Quebec/Québec","Trois-Rivières","24076","Éric Trottier Green Party/Parti Vert","Trois-Rivières, Que./ Qc","Metallurgy and Metallurgical Eng. Technologist/Technologue génie métallurgique",1032,1.7,,
"Quebec/Québec","Trois-Rivières","24076","Maxime Rousseau Libertarian/Libertarien","Trois-Rivières, Que./ Qc","Computer Technician/Technicien informatique",360,.6,,
"Quebec/Québec","Vaudreuil--Soulanges","24074","Peter Schiefke Liberal/Libéral","Vaudreuil-sur-le-Lac, Que./ Qc","Al Gore Foundation Director/Directeur de la fondation Al Gore",30550,46.6,     15923,  24.3
"Quebec/Québec","Vaudreuil--Soulanges","24074","Jamie Nicholls ** NDP-New Democratic Party/NPD-Nouveau Parti démocratique","Hudson, Que./ Qc","Parliamentarian/Parlementaire",14627,22.3,,
"Quebec/Québec","Vaudreuil--Soulanges","24074","Vincent François Bloc Québécois/Bloc Québécois","Montréal, Que./ Qc","Web Adaptation Technician/Technicien en adaptation web",9858,15,,
"Quebec/Québec","Vaudreuil--Soulanges","24074","Marc Boudreau Conservative/Conservateur","Terrebonne, Que./ Qc","Lawyer/Avocat",9048,13.8,,
"Quebec/Québec","Vaudreuil--Soulanges","24074","Jennifer Kaszel Green Party/Parti Vert","L'Île-Perrot, Que./ Qc","Cabinetmaker (Aerospace)/Ébéniste (Aérospatiale)",1445,2.2,,
"Quebec/Québec","Ville-Marie--Le Sud-Ouest--Île-des-Soeurs","24077","Marc Miller Liberal/Libéral","Westmount, Que./ Qc","Lawyer/Avocat",25491,50.8,     13734,  27.4
"Quebec/Québec","Ville-Marie--Le Sud-Ouest--Île-des-Soeurs","24077","Allison Turner NDP-New Democratic Party/NPD-Nouveau Parti démocratique","Montréal, Que./ Qc","Lawyer/Avocat",11757,23.4,,
"Quebec/Québec","Ville-Marie--Le Sud-Ouest--Île-des-Soeurs","24077","Steve Shanahan Conservative/Conservateur","Montréal, Que./ Qc","City Councillor/Conseiller de ville",5948,11.9,,
"Quebec/Québec","Ville-Marie--Le Sud-Ouest--Île-des-Soeurs","24077","Chantal St-Onge Bloc Québécois/Bloc Québécois","Saint-Hippolyte, Que./ Qc","Teacher/Enseignante",4307,8.6,,
"Quebec/Québec","Ville-Marie--Le Sud-Ouest--Île-des-Soeurs","24077","Daniel Green Green Party/Parti Vert","Montréal, Que./ Qc","Environmentalist/Environnementaliste",2398,4.8,,
"Quebec/Québec","Ville-Marie--Le Sud-Ouest--Île-des-Soeurs","24077","Daniel Wolfe Rhinoceros/Rhinocéros","Verdun, Que./ Qc","Student/Étudiant",161,.3,,
"Quebec/Québec","Ville-Marie--Le Sud-Ouest--Île-des-Soeurs","24077","William Sloan Communist/Communiste","Montréal, Que./ Qc","Retired (lawyer)/Retraité (ex-avocat)",102,.2,,
"Quebec/Québec","Vimy","24078","Eva Nassif Liberal/Libéral","Laval, Que./ Qc","Certified Translator/Traductrice Agréée",25082,46.2,     13691,  25.2
"Quebec/Québec","Vimy","24078","France Duhamel NDP-New Democratic Party/NPD-Nouveau Parti démocratique","Sainte-Thérèse, Que./ Qc","Businesswoman/Femme d'affaires",11391,21,,
"Quebec/Québec","Vimy","24078","Barek Kaddouri Bloc Québécois/Bloc Québécois","Laval, Que./ Qc","Teacher/Enseignant",9068,16.7,,
"Quebec/Québec","Vimy","24078","Anthony Mavros Conservative/Conservateur","Montréal, Que./ Qc","Accountant/Comptable",7262,13.4,,
"Quebec/Québec","Vimy","24078","José Núñez Melo ** Green Party/Parti Vert","Laval, Que./ Qc","Parliamentarian/Parlementaire",1280,2.4,,
"Quebec/Québec","Vimy","24078","Brian Jenkins Christian Heritage Party/Parti de l'Héritage Chrétien","Montréal, Que./ Qc","Recruiter/Recruteur ",260,.5,,
"Ontario","Ajax","35001","Mark Holland Liberal/Libéral","Ajax, Ont.","Executive Director/Directeur exécutif",31458,55.9,     12084,  21.5
"Ontario","Ajax","35001","Chris Alexander ** Conservative/Conservateur","Ajax, Ont.","Parliamentarian/Parlementaire",19374,34.4,,
"Ontario","Ajax","35001","Stephanie Brown NDP-New Democratic Party/NPD-Nouveau Parti démocratique","Ajax, Ont.","Student/Étudiante",4630,8.2,,
"Ontario","Ajax","35001","Jeff Hill Green Party/Parti Vert","Ajax, Ont.","Journalist/Journaliste",788,1.4,,
"Ontario","Ajax","35001","Bob Kesic United Party/Parti Uni","Ajax, Ont.","Self-Employed/Travailleur indépendant",57,.1,,
"Ontario","Algoma--Manitoulin--Kapuskasing","35002","Carol Hughes ** NDP-New Democratic Party/NPD-Nouveau Parti démocratique","Hanmer, Ont.","Parliamentarian/Parlementaire",16516,39.9,      2405,   5.8
"Ontario","Algoma--Manitoulin--Kapuskasing","35002","Heather Wilson Liberal/Libéral","Espanola, Ont.","Controller/Contrôleuse",14111,34.1,,
"Ontario","Algoma--Manitoulin--Kapuskasing","35002","André Robichaud Conservative/Conservateur","Kapuskasing, Ont.","Economic Development Officer/Agent de développement économique",9820,23.7,,
"Ontario","Algoma--Manitoulin--Kapuskasing","35002","Calvin John Orok Green Party/Parti Vert","White River, Ont.","Kinesiologist/Kinésiologue",927,2.2,,
"Ontario","Aurora--Oak Ridges--Richmond Hill","35003","Leona Alleslev Liberal/Libéral","Richmond Hill, Ont.","Consultant/Consultante",24132,47.3,      1093,   2.1
"Ontario","Aurora--Oak Ridges--Richmond Hill","35003","Costas Menegakis ** Conservative/Conservateur","Richmond Hill, Ont.","Parliamentarian/Parlementaire",23039,45.2,,
"Ontario","Aurora--Oak Ridges--Richmond Hill","35003","Brenda Power NDP-New Democratic Party/NPD-Nouveau Parti démocratique","North York, Ont.","Appeals Officer/Agente d'appels",2912,5.7,,
"Ontario","Aurora--Oak Ridges--Richmond Hill","35003","Randi Ramdeen Green Party/Parti Vert","Toronto, Ont.","Executive administrator/Administrateur exécutif",654,1.3,,
"Ontario","Aurora--Oak Ridges--Richmond Hill","35003","Kyle Bowles Animal Alliance/Environment Voters/Animal Alliance/Environment Voters","Richmond Hill, Ont.","Wildlife Sanctuary/Sanctuaire de la faune",243,.5,,
"Ontario","Barrie--Innisfil","35004","John Brassard Conservative/Conservateur","Barrie, Ont.","Retired/Retraité",22901,46.4,      4593,   9.3
"Ontario","Barrie--Innisfil","35004","Colin Wilson Liberal/Libéral","Barrie, Ont.","Federal Public Servant - Senior Advisor/Fonctionnaire fédéral - conseiller principal",18308,37.1,,
"Ontario","Barrie--Innisfil","35004","Myrna Clark NDP-New Democratic Party/NPD-Nouveau Parti démocratique","Barrie, Ont.","Retired Teacher /Enseignante retraitée",5812,11.8,,
"Ontario","Barrie--Innisfil","35004","Bonnie North Green Party/Parti Vert","Barrie, Ont.","Consultant/Consultante",1991,4,,
"Ontario","Barrie--Innisfil","35004","Gary Nail Christian Heritage Party/Parti de l'Héritage Chrétien","Innisfil, Ont.","Auto Worker/Travailleur de l'automobile",199,.4,,
"Ontario","Barrie--Innisfil","35004","Jeff Sakula CAP/PAC","Barrie, Ont.","Retired/Retraité",130,.3,,
"Ontario","Barrie--Springwater--Oro-Medonte","35005","Alex Nuttall Conservative/Conservateur","Barrie, Ont.","Financial Services/Services financiers",21091,41.7,        86,   0.2
